Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,3,Rama Metro Life Maxima Residences,884 sqft,Semi-Furnished,2,₹95 Lac ,₹7963 per sqft 
,2,Kumar Piccadilly,610 sqft,Unfurnished,2,₹58 Lac ,₹6776 per sqft 
,4,Songs from the Wood,4095 sqft,Semi-Furnished,4,₹9.84 Cr ,₹17800 per sqft 
,3,Marvel,890 sqft,Unfurnished,2,₹60 Lac ,₹4800 per sqft 
,3,Kumar Palmsprings Towers,1200 sqft,Unfurnished,3,₹97 Lac ,₹6062 per sqft 
,3,Vision Vanessa,1423 sqft,Unfurnished,3,₹1.55 Cr ,₹7750 per sqft 
,3,,1100 sqft,Semi-Furnished,3,₹95.5 Lac ,₹6821 per sqft 
,4,,1885 sqft,Unfurnished,4,₹2.75 Cr ,₹9303 per sqft 
,3,,1141 sqft,Unfurnished,3,₹1.56 Cr ,₹10759 per sqft 
,3,Kalpataru Jade Residences,1350 sqft,Unfurnished,3,₹1.71 Cr ,₹9385 per sqft 
,1,Nyati Elan,480 sqft,Unfurnished,1,₹35.7 Lac ,₹5950 per sqft 
,2,Basil Maximus,725 sqft,Unfurnished,2,₹71 Lac ,₹7358 per sqft 
,2,Ace Atmosphere,781 sqft,Unfurnished,2,₹71 Lac ,₹6493 per sqft 
,2,,900 sqft,Unfurnished,2,₹1.95 Cr ,₹16049 per sqft 
,3,,1352 sqft,Unfurnished,3,₹1.38 Cr ,₹7562 per sqft 
,2,,815 sqft,Unfurnished,2,₹63 Lac ,₹5727 per sqft 
,2,Belmac Residences,1002 sqft,Unfurnished,3,₹1.35 Cr ,
,3,K City,940 sqft,Unfurnished,3,₹81 Lac ,₹6157 per sqft 
,2,Rahul Downtown,751 sqft,Unfurnished,2,₹63 Lac ,₹6213 per sqft 
,3,Vision Vanessa,1425 sqft,Unfurnished,3,₹1.67 Cr ,₹8350 per sqft 
,3,Lodha Panache,1133 sqft,Unfurnished,3,₹1.33 Cr ,₹8727 per sqft 
,5,Godrej Emerald Waters,1776 sqft,Unfurnished,5,₹2.50 Cr ,₹10870 per sqft 
,2,,740 sqft,Unfurnished,2,₹60 Lac ,₹6000 per sqft 
,3,Nirman Astoria Royals,1080 sqft,Unfurnished,3,₹86.5 Lac ,₹5933 per sqft 
,2,Puneville,728 sqft,Unfurnished,2,₹65 Lac ,₹6468 per sqft 
,2,Elina Living,830 sqft,Semi-Furnished,2,₹85 Lac ,₹7424 per sqft 
,3,Suhrud,,Unfurnished,3,₹2.30 Cr ,₹14839 per sqft 
,2,Runwal The Central Park,976 sqft,Unfurnished,2,₹1.25 Cr ,
,2,Megapolis Mystic,777 sqft,Unfurnished,2,₹66 Lac ,
,3,Godrej River Royale,1688 sqft,Unfurnished,4,₹2.50 Cr ,₹11364 per sqft 
,2,Geras Island of Joy,722 sqft,Unfurnished,2,₹76.5 Lac ,₹7854 per sqft 
